Wall time,Step,Value
1544470040.587509,1,287.0798034667969
1544470083.3228836,2,249.55638122558594
1544470125.980302,3,468.5459289550781
1544470166.0596633,4,732.9890747070312
1544470207.2091682,5,305.2736511230469
1544470247.50442,6,605.6067504882812
1544470287.923198,7,332.2380065917969
1544470328.45607,8,366.6205139160156
1544470368.752955,9,336.51031494140625
1544470409.995687,10,216.87867736816406
1544470452.5014834,11,419.67755126953125
1544470493.0634506,12,67.3980712890625
1544470535.6647546,13,145.7638397216797
1544470578.1463115,14,155.0102996826172
1544470619.2751634,15,125.82125091552734
1544470659.8782666,16,247.62872314453125
1544470700.597288,17,328.9340515136719
1544470741.1810048,18,72.73397064208984
1544470781.738527,19,259.99822998046875
1544470822.392225,20,565.9388427734375
1544470863.0349164,21,149.04869079589844
1544470903.8552964,22,401.04669189453125
1544470944.443562,23,135.03375244140625
1544470984.7255974,24,838.1204223632812
1544471025.9045784,25,75.89338684082031
1544471068.4479668,26,231.52337646484375
1544471109.1229687,27,189.75462341308594
1544471149.713204,28,231.94219970703125
1544471189.9489927,29,283.7137451171875
1544471231.0551038,30,49.05073928833008
1544471273.8186731,31,32.2916374206543
1544471316.7307153,32,104.15245819091797
1544471357.482188,33,78.36518096923828
1544471397.7805326,34,86.90538024902344
1544471438.926315,35,40.55303955078125
1544471479.7626808,36,136.9676055908203
1544471520.44897,37,444.3913269042969
1544471561.0901918,38,155.0652313232422
1544471601.4993618,39,581.5435791015625
1544471642.2088523,40,19.84223747253418
1544471685.006207,41,38.26719665527344
1544471725.5830402,42,112.39234924316406
1544471766.4438608,43,216.7433319091797
1544471806.8540723,44,352.1551208496094
1544471848.3261707,45,199.33938598632812
1544471889.2869532,46,28.228609085083008
1544471932.146551,47,64.49372100830078
1544471973.1595669,48,200.2257843017578
1544472013.8444328,49,65.47333526611328
1544472054.8834999,50,51.78117370605469
1544472095.635863,51,143.74156188964844
1544472136.6086142,52,71.87226867675781
1544472177.3422587,53,275.8913879394531
1544472217.892572,54,57.406837463378906
1544472259.1755807,55,79.8028793334961
1544472300.0444396,56,27.841821670532227
1544472340.5266647,57,14.167943000793457
1544472381.239403,58,36.65916061401367
1544472421.855724,59,53.59236145019531
1544472462.6588404,60,51.9022331237793
1544472503.8402114,61,116.4201431274414
1544472544.4568942,62,112.02417755126953
